id,institutionName,city,state,website
santa-rosa-junior-college-ca,Santa Rosa Junior College,,CA,
santiago-canyon-college-ca,Santiago Canyon College,,CA,
shasta-college-ca,Shasta College,,CA,
sierra-college-ca,Sierra College,,CA,
skyline-college-ca,Skyline College,,CA,
solano-community-college-ca,Solano Community College,,CA,
southwestern-college-ca,Southwestern College,,CA,
taft-college-ca,Taft College,,CA,
ventura-college-ca,Ventura College,,CA,
victor-valley-college-ca,Victor Valley College,,CA,
west-hills-college-coalinga-ca,West Hills College Coalinga,,CA,
west-hills-college-lemoore-ca,West Hills College Lemoore,,CA,
west-los-angeles-college-ca,West Los Angeles College,,CA,
west-valley-college-ca,West Valley College,,CA,
woodland-community-college-ca,Woodland Community College,,CA,
yuba-college-ca,Yuba College,,CA,
arapahoe-community-college-co,Arapahoe Community College,,CO,
colorado-mountain-college-co,Colorado Mountain College,,CO,
community-college-of-denver-co,Community College of Denver,,CO,
lamar-community-college-co,Lamar Community College,,CO,
northeastern-junior-college-co,Northeastern Junior College,,CO,
otero-college-co,Otero College,,CO,
pueblo-community-college-co,Pueblo Community College,,CO,
red-rocks-community-college-co,Red Rocks Community College,,CO,
trinidad-state-college-co,Trinidad State College,,CO,
delaware-technical-community-college-de,Delaware Technical Community College,,DE,
chipola-college-fl,Chipola College,,FL,
college-of-central-florida-fl,College of Central Florida,,FL,
daytona-state-college-fl,Daytona State College,,FL,
eastern-florida-state-college-fl,Eastern Florida State College,,FL,
florida-gateway-college-fl,Florida Gateway College,,FL,
florida-southwestern-state-college-fl,Florida SouthWestern State College,,FL,
florida-state-college-at-jacksonville-fl,Florida State College at Jacksonville,,FL,
gulf-coast-state-college-fl,Gulf Coast State College,,FL,
hillsborough-community-college-fl,Hillsborough Community College,,FL,
indian-river-state-college-fl,Indian River State College,,FL,
lake-sumter-state-college-fl,Lake-Sumter State College,,FL,
miami-dade-college-fl,Miami Dade College,,FL,
northwest-florida-state-college-fl,Northwest Florida State College,,FL,
palm-beach-state-college-fl,Palm Beach State College,,FL,
pasco-hernando-state-college-fl,Pasco-Hernando State College,,FL,
pensacola-state-college-fl,Pensacola State College,,FL,
polk-state-college-fl,Polk State College,,FL,
santa-fe-college-fl,Santa Fe College,,FL,
seminole-state-college-of-florida-fl,Seminole State College of Florida,,FL,
south-florida-state-college-fl,South Florida State College,,FL,
st-johns-river-state-college-fl,St. Johns River State College,,FL,
state-college-of-florida-bradenton-fl,State College of Florida,Bradenton,FL,https://www.scfmanatees.com/landing/index
state-college-of-florida-manatee-sarasota-fl,State College of Florida Manatee-Sarasota,,FL,
tallahassee-community-college-fl,Tallahassee Community College,,FL,
andrew-college-ga,Andrew College,,GA,
georgia-highlands-college-ga,Georgia Highlands College,,GA,
georgia-military-college-ga,Georgia Military College,,GA,
south-georgia-state-college-ga,South Georgia State College,,GA,
des-moines-area-community-college-ia,Des Moines Area Community College,Boone,IA,https://www.dmaccbears.com/sports/esports/index
ellsworth-community-college-ia,Ellsworth Community College,,IA,
hawkeye-community-college-ia,Hawkeye Community College,Waterloo,IA,https://www.redtailathletics.com/sports/esports/index
indian-hills-community-college-ia,Indian Hills Community College,,IA,
iowa-central-community-college-ia,Iowa Central Community College,Fort Dodge,IA,https://www.ictritons.com/sports/esports/index
iowa-lakes-community-college-ia,Iowa Lakes Community College,,IA,
iowa-western-community-college-ia,Iowa Western Community College,Council Bluffs,IA,https://www.goreivers.com/sports/esports/index
kirkwood-community-college-ia,Kirkwood Community College,,IA,
marshalltown-community-college-ia,Marshalltown Community College,,IA,
north-iowa-area-community-college-ia,North Iowa Area Community College,,IA,
northeast-iowa-community-college-ia,Northeast Iowa Community College,,IA,
northwest-iowa-community-college-ia,Northwest Iowa Community College,,IA,
southeastern-community-college-ia,Southeastern Community College,,IA,
southwestern-community-college-ia,Southwestern Community College,,IA,
western-iowa-tech-community-college-ia,Western Iowa Tech Community College,,IA,
college-of-eastern-idaho-id,College of Eastern Idaho,,ID,
college-of-southern-idaho-id,College of Southern Idaho,,ID,
college-of-western-idaho-id,College of Western Idaho,,ID,
north-idaho-college-id,North Idaho College,,ID,
black-hawk-college-il,Black Hawk College,,IL,
carl-sandburg-college-il,Carl Sandburg College,,IL,
college-of-dupage-il,College of DuPage,Glen Ellyn,IL,https://gochapsgo.com/sports/esports
college-of-lake-county-il,College of Lake County,,IL,
elgin-community-college-il,Elgin Community College,,IL,
harper-college-il,Harper College,,IL,
heartland-community-college-il,Heartland Community College,,IL,
highland-community-college-il,Highland Community College,,IL,
illinois-central-college-il,Illinois Central College,,IL,
illinois-valley-community-college-il,Illinois Valley Community College,,IL,
john-a-logan-college-il,John A. Logan College,,IL,
joliet-junior-college-il,Joliet Junior College,,IL,
kankakee-community-college-il,Kankakee Community College,,IL,
kaskaskia-college-il,Kaskaskia College,,IL,
kishwaukee-college-il,Kishwaukee College,,IL,
lake-land-college-il,Lake Land College,,IL,
lewis-and-clark-community-college-il,Lewis and Clark Community College,,IL,
lincoln-land-community-college-il,Lincoln Land Community College,,IL,
mchenry-county-college-il,McHenry County College,,IL,
moraine-valley-community-college-il,Moraine Valley Community College,,IL,
morton-college-il,Morton College,,IL,
oakton-college-il,Oakton College,,IL,
parkland-college-il,Parkland College,,IL,
prairie-state-college-il,Prairie State College,,IL,
rend-lake-college-il,Rend Lake College,,IL,
richland-community-college-il,Richland Community College,,IL,
rock-valley-college-il,Rock Valley College,,IL,
sauk-valley-community-college-il,Sauk Valley Community College,,IL,
shawnee-community-college-il,Shawnee Community College,,IL,
south-suburban-college-il,South Suburban College,,IL,
southeastern-illinois-college-il,Southeastern Illinois College,,IL,
southwestern-illinois-college-il,Southwestern Illinois College,,IL,
spoon-river-college-il,Spoon River College,,IL,
triton-college-il,Triton College,,IL,
waubonsee-community-college-il,Waubonsee Community College,,IL,
ivy-tech-community-college-in,Ivy Tech Community College,,IN,
vincennes-university-in,Vincennes University,,IN,
allen-community-college-ks,Allen Community College,,KS,
barton-community-college-ks,Barton Community College,Great Bend,KS,https://www.bartonsports.com/sports/esports/index
butler-community-college-ks,Butler Community College,El Dorado,KS,https://www.butlergrizzlies.com/
cloud-county-community-college-ks,Cloud County Community College,,KS,
coffeyville-community-college-ks,Coffeyville Community College,Coffeyville,KS,https://www.redravenathletics.com/
colby-community-college-ks,Colby Community College,,KS,
cowley-college-ks,Cowley College,,KS,
dodge-city-community-college-ks,Dodge City Community College,,KS,
flint-hills-technical-college-ks,Flint Hills Technical College,,KS,
fort-scott-community-college-ks,Fort Scott Community College,,KS,
garden-city-community-college-ks,Garden City Community College,Garden City,KS,https://www.gobroncbusters.com/sports/esports/index
hutchinson-community-college-ks,Hutchinson Community College,Hutchinson,KS,https://www.bluedragonsports.com/sports/esports/index
independence-community-college-ks,Independence Community College,,KS,
johnson-county-community-college-ks,Johnson County Community College,Overland Park,KS,https://jcccathletics.com/
kansas-city-kansas-community-college-ks,Kansas City Kansas Community College,,KS,
labette-community-college-ks,Labette Community College,,KS,
neosho-county-community-college-ks,Neosho County Community College,,KS,
northwest-kansas-technical-college-ks,Northwest Kansas Technical College,Goodland,KS,https://techtigers.com/
pratt-community-college-ks,Pratt Community College,,KS,
seward-county-community-college-ks,Seward County Community College,,KS,
wsu-tech-ks,WSU Tech,,KS,
bluegrass-community-and-technical-college-ky,Bluegrass Community and Technical College,,KY,
elizabethtown-community-and-technical-college-ky,Elizabethtown Community and Technical College,,KY,
owensboro-community-and-technical-college-ky,Owensboro Community and Technical College,,KY,
somerset-community-college-ky,Somerset Community College,,KY,
bristol-community-college-ma,Bristol Community College,,MA,
bunker-hill-community-college-ma,Bunker Hill Community College,,MA,
massbay-community-college-ma,MassBay Community College,,MA,
massasoit-community-college-ma,Massasoit Community College,,MA,
middlesex-community-college-ma,Middlesex Community College,,MA,
mount-wachusett-community-college-ma,Mount Wachusett Community College,,MA,
northern-essex-community-college-ma,Northern Essex Community College,,MA,
quinsigamond-community-college-ma,Quinsigamond Community College,,MA,
springfield-technical-community-college-ma,Springfield Technical Community College,,MA,
allegany-college-of-maryland-md,Allegany College of Maryland,,MD,
anne-arundel-community-college-md,Anne Arundel Community College,,MD,
carroll-community-college-md,Carroll Community College,,MD,
cecil-college-md,Cecil College,,MD,
college-of-southern-maryland-md,College of Southern Maryland,,MD,
community-college-of-baltimore-county-md,Community College of Baltimore County,,MD,
hagerstown-community-college-md,Hagerstown Community College,,MD,
harford-community-college-md,Harford Community College,,MD,
howard-community-college-md,Howard Community College,,MD,
montgomery-college-md,Montgomery College,,MD,
prince-georges-community-college-md,Prince George's Community College,,MD,
central-maine-community-college-me,Central Maine Community College,,ME,
alpena-community-college-mi,Alpena Community College,,MI,
bay-college-mi,Bay College,,MI,
delta-college-mi,Delta College,,MI,
glen-oaks-community-college-mi,Glen Oaks Community College,,MI,
gogebic-community-college-mi,Gogebic Community College,,MI,
grand-rapids-community-college-mi,Grand Rapids Community College,,MI,
henry-ford-college-mi,Henry Ford College,,MI,
jackson-college-mi,Jackson College,Jackson,MI,https://jacksoncollegejets.com/sports/esports/index
kellogg-community-college-mi,Kellogg Community College,,MI,
kirtland-community-college-mi,Kirtland Community College,,MI,
lake-michigan-college-mi,Lake Michigan College,,MI,
lansing-community-college-mi,Lansing Community College,,MI,
macomb-community-college-mi,Macomb Community College,,MI,
mid-michigan-college-mi,Mid Michigan College,,MI,
monroe-county-community-college-mi,Monroe County Community College,,MI,
montcalm-community-college-mi,Montcalm Community College,,MI,
mott-community-college-mi,Mott Community College,,MI,
muskegon-community-college-mi,Muskegon Community College,,MI,
north-central-michigan-college-mi,North Central Michigan College,,MI,
oakland-community-college-mi,Oakland Community College,,MI,
schoolcraft-college-mi,Schoolcraft College,,MI,
southwestern-michigan-college-mi,Southwestern Michigan College,,MI,
st-clair-county-community-college-mi,St. Clair County Community College,,MI,
washtenaw-community-college-mi,Washtenaw Community College,,MI,
wayne-county-community-college-district-mi,Wayne County Community College District,,MI,
west-shore-community-college-mi,West Shore Community College,,MI,
alexandria-technical-community-college-mn,Alexandria Technical & Community College,Alexandria,MN,https://legends.alextech.edu/sports/esports/index
anoka-ramsey-community-college-mn,Anoka-Ramsey Community College,,MN,
central-lakes-college-mn,Central Lakes College,,MN,
century-college-mn,Century College,,MN,
dakota-county-technical-college-mn,Dakota County Technical College,,MN,
inver-hills-community-college-mn,Inver Hills Community College,,MN,
lake-superior-college-mn,Lake Superior College,,MN,
minnesota-state-college-southeast-mn,Minnesota State College Southeast,,MN,
minnesota-state-community-and-technical-college-mn,Minnesota State Community and Technical College,,MN,
minnesota-west-community-and-technical-college-mn,Minnesota West Community and Technical College,,MN,
normandale-community-college-mn,Normandale Community College,,MN,
north-hennepin-community-college-mn,North Hennepin Community College,,MN,
northland-community-technical-college-mn,Northland Community & Technical College,,MN,
ridgewater-college-mn,Ridgewater College,,MN,
riverland-community-college-mn,Riverland Community College,,MN,
rochester-community-and-technical-college-mn,Rochester Community and Technical College,,MN,
saint-paul-college-mn,Saint Paul College,,MN,
south-central-college-mn,South Central College,,MN,
st-cloud-technical-and-community-college-mn,St. Cloud Technical and Community College,,MN,
crowder-college-mo,Crowder College,,MO,
east-central-college-mo,East Central College,,MO,
jefferson-college-mo,Jefferson College,,MO,
metropolitan-community-college-mo,Metropolitan Community College,,MO,
mineral-area-college-mo,Mineral Area College,,MO,
moberly-area-community-college-mo,Moberly Area Community College,,MO,
north-central-missouri-college-mo,North Central Missouri College,,MO,
ozarks-technical-community-college-mo,Ozarks Technical Community College,,MO,
st-charles-community-college-mo,St. Charles Community College,,MO,
st-louis-community-college-mo,St. Louis Community College,,MO,
state-fair-community-college-mo,State Fair Community College,,MO,
state-technical-college-of-missouri-mo,State Technical College of Missouri,,MO,
three-rivers-college-mo,Three Rivers College,,MO,
copiah-lincoln-community-college-ms,Copiah-Lincoln Community College,,MS,
east-central-community-college-ms,East Central Community College,,MS,
east-mississippi-community-college-ms,East Mississippi Community College,,MS,
hinds-community-college-ms,Hinds Community College,,MS,
holmes-community-college-ms,Holmes Community College,,MS,
itawamba-community-college-ms,Itawamba Community College,,MS,
jones-college-ms,Jones College,,MS,
meridian-community-college-ms,Meridian Community College,,MS,
mississippi-delta-community-college-ms,Mississippi Delta Community College,,MS,
mississippi-gulf-coast-community-college-ms,Mississippi Gulf Coast Community College,,MS,
northeast-mississippi-community-college-ms,Northeast Mississippi Community College,,MS,
northwest-mississippi-community-college-ms,Northwest Mississippi Community College,,MS,
pearl-river-community-college-ms,Pearl River Community College,,MS,
southwest-mississippi-community-college-ms,Southwest Mississippi Community College,,MS,
dawson-community-college-mt,Dawson Community College,,MT,
flathead-valley-community-college-mt,Flathead Valley Community College,,MT,
miles-community-college-mt,Miles Community College,,MT,
alamance-community-college-nc,Alamance Community College,,NC,
asheville-buncombe-technical-community-college-nc,Asheville-Buncombe Technical Community College,,NC,
blue-ridge-community-college-nc,Blue Ridge Community College,,NC,
brunswick-community-college-nc,Brunswick Community College,,NC,
caldwell-community-college-and-technical-institute-nc,Caldwell Community College and Technical Institute,,NC,
cape-fear-community-college-nc,Cape Fear Community College,,NC,
catawba-valley-community-college-nc,Catawba Valley Community College,,NC,
central-carolina-community-college-nc,Central Carolina Community College,,NC,
cleveland-community-college-nc,Cleveland Community College,,NC,
coastal-carolina-community-college-nc,Coastal Carolina Community College,,NC,
college-of-the-albemarle-nc,College of the Albemarle,,NC,
craven-community-college-nc,Craven Community College,,NC,
davidson-davie-community-college-nc,Davidson-Davie Community College,,NC,
durham-technical-community-college-nc,Durham Technical Community College,,NC,
fayetteville-technical-community-college-nc,Fayetteville Technical Community College,,NC,
forsyth-technical-community-college-nc,Forsyth Technical Community College,,NC,
gaston-college-nc,Gaston College,,NC,
guilford-technical-community-college-nc,Guilford Technical Community College,,NC,
johnston-community-college-nc,Johnston Community College,,NC,
lenoir-community-college-nc,Lenoir Community College,,NC,
louisburg-college-nc,Louisburg College,,NC,
nash-community-college-nc,Nash Community College,,NC,
pitt-community-college-nc,Pitt Community College,,NC,
randolph-community-college-nc,Randolph Community College,,NC,
richmond-community-college-nc,Richmond Community College,,NC,
rockingham-community-college-nc,Rockingham Community College,,NC,
rowan-cabarrus-community-college-nc,Rowan-Cabarrus Community College,,NC,
sandhills-community-college-nc,Sandhills Community College,,NC,
south-piedmont-community-college-nc,South Piedmont Community College,,NC,
southeastern-community-college-nc,Southeastern Community College,,NC,
surry-community-college-nc,Surry Community College,,NC,
vance-granville-community-college-nc,Vance-Granville Community College,,NC,
wake-technical-community-college-nc,Wake Technical Community College,Raleigh,NC,https://www.waketechsports.com/sports/Esports/index
wayne-community-college-nc,Wayne Community College,,NC,
western-piedmont-community-college-nc,Western Piedmont Community College,,NC,
wilkes-community-college-nc,Wilkes Community College,,NC,
wilson-community-college-nc,Wilson Community College,,NC,
bismarck-state-college-nd,Bismarck State College,,ND,
dakota-college-at-bottineau-nd,Dakota College at Bottineau,,ND,
lake-region-state-college-nd,Lake Region State College,,ND,
north-dakota-state-college-of-science-nd,North Dakota State College of Science,,ND,
williston-state-college-nd,Williston State College,,ND,
central-community-college-ne,Central Community College,Columbus,NE,https://cccraiders.com/sports/esports/index
mccook-community-college-ne,McCook Community College,,NE,
mid-plains-community-college-ne,Mid-Plains Community College,,NE,
northeast-community-college-ne,Northeast Community College,,NE,
north-platte-community-college-ne,North Platte Community College,,NE,
southeast-community-college-ne,Southeast Community College,,NE,
western-nebraska-community-college-ne,Western Nebraska Community College,,NE,
atlantic-cape-community-college-nj,Atlantic Cape Community College,,NJ,
bergen-community-college-nj,Bergen Community College,,NJ,
brookdale-community-college-nj,Brookdale Community College,Lincroft,NJ,https://www.brookdalecc.edu/esports/
camden-county-college-nj,Camden County College,,NJ,
county-college-of-morris-nj,County College of Morris,,NJ,
essex-county-college-nj,Essex County College,,NJ,
hudson-county-community-college-nj,Hudson County Community College,,NJ,
mercer-county-community-college-nj,Mercer County Community College,,NJ,
middlesex-college-nj,Middlesex College,,NJ,
ocean-county-college-nj,Ocean County College,Toms River,NJ,https://www.occvikings.com/sports/esports/index
passaic-county-community-college-nj,Passaic County Community College,,NJ,
raritan-valley-community-college-nj,Raritan Valley Community College,,NJ,
rowan-college-at-burlington-county-nj,Rowan College at Burlington County,,NJ,
rowan-college-of-south-jersey-nj,Rowan College of South Jersey,,NJ,
salem-community-college-nj,Salem Community College,,NJ,
sussex-county-community-college-nj,Sussex County Community College,,NJ,
union-college-of-union-county-nj,Union College of Union County,Cranford,NJ,https://www.unionowls.com/sports/eSports/index
warren-county-community-college-nj,Warren County Community College,,NJ,
central-new-mexico-community-college-nm,Central New Mexico Community College,,NM,
clovis-community-college-nm,Clovis Community College,,NM,
luna-community-college-nm,Luna Community College,,NM,
mesalands-community-college-nm,Mesalands Community College,,NM,
new-mexico-junior-college-nm,New Mexico Junior College,,NM,
new-mexico-military-institute-nm,New Mexico Military Institute,,NM,
san-juan-college-nm,San Juan College,,NM,
santa-fe-community-college-nm,Santa Fe Community College,,NM,
college-of-southern-nevada-nv,College of Southern Nevada,North Las Vegas,NV,https://csncoyotes.com/
great-basin-college-nv,Great Basin College,,NV,
truckee-meadows-community-college-nv,Truckee Meadows Community College,,NV,
western-nevada-college-nv,Western Nevada College,,NV,
adirondack-community-college-ny,Adirondack Community College,,NY,
borough-of-manhattan-community-college-ny,Borough of Manhattan Community College,,NY,
bronx-community-college-ny,Bronx Community College,,NY,
broome-community-college-ny,Broome Community College,,NY,
cayuga-community-college-ny,Cayuga Community College,,NY,
clinton-community-college-ny,Clinton Community College,,NY,
columbia-greene-community-college-ny,Columbia-Greene Community College,,NY,
corning-community-college-ny,Corning Community College,,NY,
dutchess-community-college-ny,Dutchess Community College,,NY,
erie-community-college-ny,Erie Community College,,NY,
finger-lakes-community-college-ny,Finger Lakes Community College,Canandaigua,NY,https://www.flccathletics.com/sports/eSports/index
fulton-montgomery-community-college-ny,Fulton-Montgomery Community College,,NY,
genesee-community-college-ny,Genesee Community College,,NY,
herkimer-county-community-college-ny,Herkimer County Community College,,NY,
hostos-community-college-ny,Hostos Community College,,NY,
hudson-valley-community-college-ny,Hudson Valley Community College,,NY,
jamestown-community-college-ny,Jamestown Community College,,NY,
jefferson-community-college-ny,Jefferson Community College,,NY,
kingsborough-community-college-ny,Kingsborough Community College,,NY,
laguardia-community-college-ny,LaGuardia Community College,,NY,
mohawk-valley-community-college-ny,Mohawk Valley Community College,,NY,
monroe-college-ny,Monroe College,New Rochelle,NY,https://www.monroeumustangs.com/sports/esports
monroe-community-college-ny,Monroe Community College,,NY,
nassau-community-college-ny,Nassau Community College,,NY,
niagara-county-community-college-ny,Niagara County Community College,,NY,
north-country-community-college-ny,North Country Community College,,NY,
onondaga-community-college-ny,Onondaga Community College,,NY,
orange-county-community-college-ny,Orange County Community College,,NY,
queensborough-community-college-ny,Queensborough Community College,,NY,
rockland-community-college-ny,Rockland Community College,,NY,
schenectady-county-community-college-ny,Schenectady County Community College,,NY,
suffolk-county-community-college-ny,Suffolk County Community College,,NY,
sullivan-county-community-college-ny,Sullivan County Community College,,NY,
tompkins-cortland-community-college-ny,Tompkins Cortland Community College,,NY,
ulster-county-community-college-ny,Ulster County Community College,,NY,
westchester-community-college-ny,Westchester Community College,,NY,
belmont-college-oh,Belmont College,,OH,
central-ohio-technical-college-oh,Central Ohio Technical College,,OH,
cincinnati-state-technical-and-community-college-oh,Cincinnati State Technical and Community College,,OH,
clark-state-college-oh,Clark State College,,OH,
columbus-state-community-college-oh,Columbus State Community College,,OH,
cuyahoga-community-college-oh,Cuyahoga Community College,Cleveland,OH,https://athletics.tri-c.edu/landing/index
edison-state-community-college-oh,Edison State Community College,,OH,
hocking-college-oh,Hocking College,,OH,
lakeland-community-college-oh,Lakeland Community College,,OH,
lorain-county-community-college-oh,Lorain County Community College,,OH,
marion-technical-college-oh,Marion Technical College,,OH,
north-central-state-college-oh,North Central State College,,OH,
northwest-state-community-college-oh,Northwest State Community College,,OH,
owens-community-college-oh,Owens Community College,,OH,
rhodes-state-college-oh,Rhodes State College,,OH,
rio-grande-community-college-oh,Rio Grande Community College,,OH,
sinclair-community-college-oh,Sinclair Community College,,OH,
southern-state-community-college-oh,Southern State Community College,,OH,
stark-state-college-oh,Stark State College,,OH,
terra-state-community-college-oh,Terra State Community College,,OH,
washington-state-community-college-oh,Washington State Community College,,OH,
zane-state-college-oh,Zane State College,,OH,
carl-albert-state-college-ok,Carl Albert State College,,OK,
connors-state-college-ok,Connors State College,,OK,
eastern-oklahoma-state-college-ok,Eastern Oklahoma State College,,OK,
murray-state-college-ok,Murray State College,,OK,
northeastern-oklahoma-am-college-ok,Northeastern Oklahoma A&M College,,OK,
northern-oklahoma-college-ok,Northern Oklahoma College,,OK,
oklahoma-city-community-college-ok,Oklahoma City Community College,,OK,
redlands-community-college-ok,Redlands Community College,,OK,
rose-state-college-ok,Rose State College,,OK,
seminole-state-college-ok,Seminole State College,,OK,
tulsa-community-college-ok,Tulsa Community College,,OK,
